time,filename,pathname,exception name,exception data,error report filename
Fri Dec 30 19:08:36 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.IndexError,list index out of range,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-08-36-31388.html
Fri Dec 30 19:08:37 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.IndexError,list index out of range,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-08-37-25044.html
Fri Dec 30 19:08:37 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.IndexError,list index out of range,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-08-37-70984.html
Fri Dec 30 19:09:52 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.IndexError,list index out of range,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-09-52-88707.html
Fri Dec 30 19:09:52 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.IndexError,list index out of range,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-09-52-15375.html
Fri Dec 30 19:09:53 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.IndexError,list index out of range,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-09-53-93662.html
Fri Dec 30 19:13:07 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-07-85982.html
Fri Dec 30 19:13:07 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-07-44746.html
Fri Dec 30 19:13:07 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-07-65810.html
Fri Dec 30 19:13:08 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-08-84412.html
Fri Dec 30 19:13:08 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-08-44851.html
Fri Dec 30 19:13:08 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-08-64687.html
Fri Dec 30 19:13:08 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-08-72834.html
Fri Dec 30 19:13:08 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-08-89076.html
Fri Dec 30 19:13:08 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-08-54073.html
Fri Dec 30 19:13:09 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-09-73448.html
Fri Dec 30 19:13:09 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'size',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-09-47789.html
Fri Dec 30 19:13:35 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'length',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-35-92105.html
Fri Dec 30 19:13:35 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'list' object has no attribute 'length',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-30-19-13-35-89070.html
